t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
2.776,0,0,0,16,16,16,13313,15322,-15438,16,16,16,-13314,-15323,15437
2.784,0,0,0,0,0,0,13328,15338,-15454,0,0,0,-13329,-15339,15453
2.792,0,0,0,16,16,16,13341,15354,-15470,16,16,16,-13342,-15355,15469
2.8,0,0,0,0,0,0,13355,15369,-15486,0,0,0,-13356,-15370,15485
2.808,0,0,0,16,16,16,13367,15384,-15500,16,16,16,-13368,-15385,15499
2.816,0,0,0,0,0,0,13380,15398,-15515,0,0,0,-13381,-15399,15514
2.824,0,0,0,16,16,16,13391,15412,-15528,16,16,16,-13392,-15413,15527
2.832,0,0,0,0,0,0,13403,15425,-15541,0,0,0,-13404,-15426,15540
2.84,0,0,0,16,16,16,13413,15437,-15554,16,16,16,-13414,-15438,15553
2.848,0,0,0,0,0,0,13424,15449,-15565,0,0,0,-13425,-15450,15564
2.856,0,0,0,16,16,16,13433,15460,-15577,16,16,16,-13434,-15461,15576
2.864,0,0,0,0,0,0,13442,15470,-15587,0,0,0,-13443,-15471,15586
2.872,0,0,0,16,16,16,13451,15480,-15597,16,16,16,-13452,-15481,15596
2.88,0,0,0,0,0,0,13459,15490,-15607,0,0,0,-13460,-15491,15606
2.888,0,0,0,16,16,16,13467,15498,-15615,16,16,16,-13468,-15499,15614
2.896,0,0,0,0,0,0,13474,15506,-15624,0,0,0,-13475,-15507,15623
2.904,0,0,0,16,16,16,13480,15514,-15631,16,16,16,-13481,-15515,15630
2.912,0,0,0,0,0,0,13486,15521,-15638,0,0,0,-13487,-15522,15637
2.92,0,0,0,16,16,16,13491,15527,-15644,16,16,16,-13492,-15528,15643
2.928,0,0,0,0,0,0,13496,15532,-15650,0,0,0,-13497,-15533,15649
2.936,0,0,0,16,16,16,13500,15537,-15655,16,16,16,-13501,-15538,15654
2.944,0,0,0,0,0,0,13504,15541,-15659,0,0,0,-13505,-15542,15658
2.952,0,0,0,16,16,16,13507,15545,-15663,16,16,16,-13508,-15546,15662
2.96,0,0,0,0,0,0,13510,15548,-15666,0,0,0,-13511,-15549,15665
2.968,0,0,0,16,16,16,13512,15550,-15668,16,16,16,-13513,-15551,15667
2.976,0,0,0,0,0,0,13513,15552,-15670,0,0,0,-13514,-15553,15669
2.984,0,0,0,16,16,16,13514,15553,-15671,16,16,16,-13515,-15554,15670
2.992,0,0,0,0,0,0,13530,15569,-15655,0,0,0,-13499,-15538,15686
3,0,0,0,1231,16,-616,14624,16799,-16932,-1232,-1,615,-14625,-16800,16931
3.008,0,0,0,1564,1,-783,15209,17136,-17273,-1565,-2,782,-15210,-17137,17272
3.016,0,0,0,2286,3,-1144,16477,17866,-18013,-2287,-4,1143,-16478,-17867,18012
3.024,0,0,0,3138,6,-1570,17971,18726,-18884,-3139,-7,1569,-17972,-18727,18883
3.032,0,0,0,4036,10,-2019,19546,19631,-19801,-4037,-11,2018,-19547,-19632,19800
