t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
0.576,0,0,0,0,0,0,1309,1507,-1519,0,0,0,-1310,-1508,1518
0.584,0,0,0,16,16,16,1343,1546,-1558,16,16,16,-1344,-1547,1557
0.592,0,0,0,0,0,0,1377,1585,-1598,0,0,0,-1378,-1586,1597
0.6,0,0,0,16,16,16,1412,1625,-1638,16,16,16,-1413,-1626,1637
0.608,0,0,0,0,0,0,1447,1665,-1679,0,0,0,-1448,-1666,1678
0.616,0,0,0,16,16,16,1482,1706,-1720,16,16,16,-1483,-1707,1719
0.624,0,0,0,0,0,0,1518,1747,-1761,0,0,0,-1519,-1748,1760
0.632,0,0,0,16,16,16,1554,1788,-1803,16,16,16,-1555,-1789,1802
0.64,0,0,0,0,0,0,1590,1830,-1845,0,0,0,-1591,-1831,1844
0.648,0,0,0,16,16,16,1627,1872,-1887,16,16,16,-1628,-1873,1886
0.656,0,0,0,0,0,0,1664,1915,-1930,0,0,0,-1665,-1916,1929
0.664,0,0,0,16,16,16,1701,1958,-1973,16,16,16,-1702,-1959,1972
0.672,0,0,0,0,0,0,1739,2001,-2017,0,0,0,-1740,-2002,2016
0.68,0,0,0,16,16,16,1776,2045,-2061,16,16,16,-1777,-2046,2060
0.688,0,0,0,0,0,0,1815,2089,-2105,0,0,0,-1816,-2090,2104
0.696,0,0,0,16,16,16,1853,2133,-2150,16,16,16,-1854,-2134,2149
0.704,0,0,0,0,0,0,1892,2178,-2195,0,0,0,-1893,-2179,2194
0.712,0,0,0,16,16,16,1931,2223,-2240,16,16,16,-1932,-2224,2239
0.72,0,0,0,0,0,0,1971,2268,-2286,0,0,0,-1972,-2269,2285
0.728,0,0,0,16,16,16,2010,2314,-2332,16,16,16,-2011,-2315,2331
0.736,0,0,0,0,0,0,2051,2360,-2379,0,0,0,-2052,-2361,2378
0.744,0,0,0,16,16,16,2091,2406,-2425,16,16,16,-2092,-2407,2424
0.752,0,0,0,0,0,0,2132,2453,-2473,0,0,0,-2133,-2454,2472
0.76,0,0,0,16,16,16,2173,2500,-2520,16,16,16,-2174,-2501,2519
0.768,0,0,0,0,0,0,2214,2548,-2568,0,0,0,-2215,-2549,2567
0.776,0,0,0,16,16,16,2255,2596,-2616,16,16,16,-2256,-2597,2615
