t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
0.704,0,0,0,0,0,0,0,0,0,0,0,0,0,-2179,2194
0.712,0,0,0,0,0,0,0,0,0,0,0,0,0,-2224,2239
0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,-2269,2285
0.728,0,0,0,0,0,0,0,0,0,0,0,0,0,-2315,2331
0.736,0,0,0,0,0,0,0,0,0,0,0,0,0,-2361,2378
0.744,0,0,0,0,0,0,0,0,0,0,0,0,0,-2407,2424
0.752,0,0,0,0,0,0,0,0,0,0,0,0,0,-2454,2472
0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,-2501,2519
0.768,0,0,0,0,0,0,0,0,0,0,0,0,0,-2549,2567
0.776,0,0,0,0,0,0,0,0,0,0,0,0,0,-2597,2615
0.784,0,0,0,0,0,0,0,0,0,0,0,0,0,-2645,2663
0.792,0,0,0,0,0,0,0,0,0,0,0,0,0,-2693,2712
0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,-2742,2761
0.808,0,0,0,0,0,0,0,0,0,0,0,0,0,-2791,2811
0.816,0,0,0,0,0,0,0,0,0,0,0,0,0,-2840,2860
0.824,0,0,0,0,0,0,0,0,0,0,0,0,0,-2890,2910
0.832,0,0,0,0,0,0,0,0,0,0,0,0,0,-2940,2961
0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,-2990,3011
0.848,0,0,0,0,0,0,0,0,0,0,0,0,0,-3041,3062
0.856,0,0,0,0,0,0,0,0,0,0,0,0,0,-3091,3113
0.864,0,0,0,0,0,0,0,0,0,0,0,0,0,-3142,3165
0.872,0,0,0,0,0,0,0,0,0,0,0,0,0,-3194,3217
0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,-3246,3269
0.888,0,0,0,0,0,0,0,0,0,0,0,0,0,-3297,3321
0.896,0,0,0,0,0,0,0,0,0,0,0,0,0,-3350,3374
0.904,0,0,0,0,0,0,0,0,0,0,0,0,0,-3402,3427
0.912,0,0,0,0,0,0,0,0,0,0,0,0,0,-3455,3480
0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,-3508,3533
0.928,0,0,0,0,0,0,0,0,0,0,0,0,0,-3561,3587
0.936,0,0,0,0,0,0,0,0,0,0,0,0,0,-3615,3641
0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,-3668,3695
0.952,0,0,0,0,0,0,0,0,0,0,0,0,0,-3722,3749
0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,-3777,3804
0.968,0,0,0,0,0,0,0,0,0,0,0,0,0,-3831,3859
0.976,0,0,0,0,0,0,0,0,0,0,0,0,0,-3886,3914
0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,-3941,3969
0.992,0,0,0,0,0,0,0,0,0,0,0,0,0,-3996,4025
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-4051,4081
1.008,0,0,0,0,0,0,0,0,0,0,0,0,0,-4107,4137
1.016,0,0,0,0,0,0,0,0,0,0,0,0,0,-4163,4193
1.024,0,0,0,0,0,0,0,0,0,0,0,0,0,-4219,4250
1.032,0,0,0,0,0,0,0,0,0,0,0,0,0,-4275,4306
1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,-4332,4363
1.048,0,0,0,0,0,0,0,0,0,0,0,0,0,-4388,4420
1.056,0,0,0,0,0,0,0,0,0,0,0,0,0,-4445,4478
1.064,0,0,0,0,0,0,0,0,0,0,0,0,0,-4502,4535
1.072,0,0,0,0,0,0,0,0,0,0,0,0,0,-4560,4593
1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,-4617,4651
1.088,0,0,0,0,0,0,0,0,0,0,0,0,0,-4675,4709
1.096,0,0,0,0,0,0,0,0,0,0,0,0,0,-4733,4767
1.104,0,0,0,0,0,0,0,0,0,0,0,0,0,-4791,4826
1.112,0,0,0,0,0,0,0,0,0,0,0,0,0,-4849,4884
1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,-4907,4943
1.128,0,0,0,0,0,0,0,0,0,0,0,0,0,-4966,5002
1.136,0,0,0,0,0,0,0,0,0,0,0,0,0,-5024,5061
