t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
6.584,0,0,0,92890,34988,-38607,241477,151516,-186731,-182065,6180,101285,-237661,-106781,81133
6.592,0,0,0,92058,33822,-38543,241645,153027,-187308,-181300,5343,100399,-238814,-107885,83346
6.6,0,0,0,91174,32609,-38463,241779,154571,-187882,-180484,4480,99471,-239965,-109004,85616
6.608,0,0,0,90237,31351,-38364,241878,156146,-188452,-179618,3591,98503,-241109,-110133,87936
6.616,0,0,0,89246,30051,-38245,241936,157744,-189013,-178701,2679,97497,-242240,-111268,90299
6.624,0,0,0,88200,28711,-38104,241950,159363,-189563,-177732,1745,96453,-243353,-112406,92701
6.632,0,0,0,87098,27331,-37939,241916,160996,-190098,-176712,790,95372,-244442,-113543,95135
6.64,0,0,0,85941,25915,-37748,241830,162641,-190615,-175641,-183,94257,-245502,-114675,97595
6.648,0,0,0,84728,24464,-37531,241690,164291,-191112,-174519,-1175,93109,-246529,-115799,100077
6.656,0,0,0,83457,22980,-37286,241491,165944,-191587,-173346,-2183,91929,-247518,-116912,102575
6.664,0,0,0,82130,21466,-37010,241231,167596,-192035,-172124,-3206,90720,-248465,-118011,105083
6.672,0,0,0,80745,19922,-36703,240907,169241,-192456,-170852,-4243,89482,-249367,-119092,107597
6.68,0,0,0,79303,18353,-36363,240516,170877,-192847,-169533,-5293,88219,-250220,-120153,110113
6.688,0,0,0,77803,16759,-35988,240057,172499,-193205,-168166,-6354,86932,-251021,-121192,112625
6.696,0,0,0,76246,15143,-35578,239527,174105,-193529,-166753,-7426,85622,-251766,-122206,115129
6.704,0,0,0,74633,13507,-35131,238924,175690,-193818,-165296,-8507,84293,-252455,-123193,117621
6.712,0,0,0,72962,11854,-34646,238247,177251,-194068,-163796,-9596,82946,-253083,-124152,120097
6.72,0,0,0,71235,10186,-34122,237495,178786,-194279,-162255,-10692,81583,-253650,-125080,122552
6.728,0,0,0,69453,8505,-33557,236666,180292,-194450,-160674,-11794,80208,-254153,-125976,124984
6.736,0,0,0,67616,6815,-32952,235760,181765,-194579,-159056,-12901,78821,-254591,-126838,127388
6.744,0,0,0,65726,5116,-32306,234777,183202,-194665,-157403,-14012,77425,-254964,-127665,129761
6.752,0,0,0,63783,3413,-31618,233716,184603,-194708,-155717,-15126,76022,-255270,-128456,132100
6.76,0,0,0,61789,1708,-30887,232577,185963,-194707,-154000,-16241,74616,-255509,-129210,134402
6.768,0,0,0,59745,3,-30114,231360,187282,-194661,-152255,-17356,73207,-255680,-129927,136663
6.776,0,0,0,57652,-1699,-29298,230068,188556,-194571,-150484,-18471,71799,-255785,-130605,138882
6.784,0,0,0,55514,-3396,-28440,228699,189785,-194435,-148691,-19584,70394,-255823,-131244,141055
6.792,0,0,0,53332,-5084,-27540,227257,190966,-194255,-146878,-20694,68994,-255796,-131845,143180
6.8,0,0,0,51108,-6762,-26598,225742,192098,-194030,-145048,-21799,67601,-255704,-132406,145255
6.808,0,0,0,48844,-8425,-25616,224157,193180,-193760,-143205,-22899,66218,-255548,-132928,147278
6.816,0,0,0,46544,-10073,-24594,222504,194211,-193448,-141351,-23993,64846,-255330,-133411,149247
6.824,0,0,0,44211,-11701,-23534,220786,195189,-193093,-139489,-25078,63488,-255053,-133856,151160
6.832,0,0,0,41848,-13308,-22437,219006,196115,-192696,-137624,-26154,62147,-254717,-134262,153015
6.84,0,0,0,39458,-14891,-21305,217168,196987,-192258,-135759,-27219,60824,-254327,-134631,154812
6.848,0,0,0,37046,-16446,-20140,215274,197804,-191783,-133896,-28271,59521,-253884,-134963,156549
6.856,0,0,0,34616,-17972,-18945,213331,198568,-191269,-132041,-29310,58240,-253391,-135259,158225
6.864,0,0,0,32172,-19466,-17722,211342,199278,-190721,-130196,-30334,56984,-252852,-135520,159839
6.872,0,0,0,29719,-20925,-16474,209312,199934,-190140,-128366,-31341,55755,-252270,-135747,161391
6.88,0,0,0,27262,-22348,-15204,207248,200536,-189528,-126555,-32330,54553,-251650,-135943,162879
6.888,0,0,0,24808,-23731,-13917,205156,201086,-188889,-124766,-33299,53382,-250994,-136107,164304
6.896,0,0,0,22362,-25073,-12617,203041,201585,-188224,-123004,-34246,52243,-250308,-136241,165665
6.904,0,0,0,19930,-26371,-11306,200911,202033,-187537,-121273,-35171,51138,-249596,-136348,166961
6.912,0,0,0,17520,-27624,-9991,198774,202432,-186832,-119577,-36070,50068,-248862,-136429,168194
6.92,0,0,0,15138,-28828,-8676,196638,202784,-186113,-117920,-36943,49035,-248112,-136486,169363
