t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,1,1,-2,0,0,0,-2,-2,1
0.016,0,0,0,0,0,0,4,4,-5,0,0,0,-5,-5,4
0.024,0,0,0,0,0,0,9,10,-11,0,0,0,-10,-11,10
0.032,0,0,0,0,0,0,16,18,-19,0,0,0,-17,-19,18
0.04,0,0,0,0,0,0,25,28,-30,0,0,0,-26,-29,29
0.048,0,0,0,0,0,0,36,41,-42,0,0,0,-37,-42,41
0.056,0,0,0,0,0,0,48,56,-57,0,0,0,-49,-57,56
0.064,0,0,0,0,0,0,63,73,-74,0,0,0,-64,-74,73
0.072,0,0,0,0,0,0,80,92,-94,0,0,0,-81,-93,93
0.08,0,0,0,0,0,0,98,113,-115,0,0,0,-99,-114,114
0.088,0,0,0,0,0,0,119,137,-139,0,0,0,-120,-138,138
0.096,0,0,0,0,0,0,141,162,-165,0,0,0,-142,-163,164
0.104,0,0,0,0,0,0,165,190,-192,0,0,0,-166,-191,191
0.112,0,0,0,0,0,0,191,220,-222,0,0,0,-192,-221,221
0.12,0,0,0,0,0,0,218,251,-254,0,0,0,-219,-252,253
0.128,0,0,0,0,0,0,248,285,-288,0,0,0,-249,-286,287
0.136,0,0,0,0,0,0,279,321,-324,0,0,0,-280,-322,323
0.144,0,0,0,0,0,0,311,358,-362,0,0,0,-312,-359,361
0.152,0,0,0,0,0,0,346,398,-402,0,0,0,-347,-399,401
0.16,0,0,0,0,0,0,382,439,-444,0,0,0,-383,-440,443
0.168,0,0,0,0,0,0,419,483,-487,0,0,0,-420,-484,486
0.176,0,0,0,0,0,0,459,528,-533,0,0,0,-460,-529,532
0.184,0,0,0,0,0,0,499,575,-580,0,0,0,-500,-576,579
0.192,0,0,0,0,0,0,542,624,-629,0,0,0,-543,-625,628
0.2,0,0,0,0,0,0,586,674,-680,0,0,0,-587,-675,679
0.208,0,0,0,0,0,0,631,727,-733,0,0,0,-632,-728,732
0.216,0,0,0,0,0,0,678,781,-788,0,0,0,-679,-782,787
0.224,0,0,0,0,0,0,727,837,-844,0,0,0,-728,-838,843
0.232,0,0,0,0,0,0,777,894,-902,0,0,0,-778,-895,901
0.24,0,0,0,0,0,0,828,953,-962,0,0,0,-829,-954,961
0.248,0,0,0,0,0,0,881,1014,-1023,0,0,0,-882,-1015,1022
0.256,0,0,0,0,0,0,936,1077,-1086,0,0,0,-937,-1078,1085
0.264,0,0,0,0,0,0,991,1141,-1150,0,0,0,-992,-1142,1149
0.272,0,0,0,0,0,0,1048,1206,-1217,0,0,0,-1049,-1207,1216
0.28,0,0,0,0,0,0,1107,1274,-1284,0,0,0,-1108,-1275,1283
0.288,0,0,0,0,0,0,1166,1342,-1353,0,0,0,-1167,-1343,1352
0.296,0,0,0,0,0,0,1227,1413,-1424,0,0,0,-1228,-1414,1423
0.304,0,0,0,0,0,0,1290,1484,-1496,0,0,0,-1291,-1485,1495
0.312,0,0,0,0,0,0,1353,1558,-1570,0,0,0,-1354,-1559,1569
0.32,0,0,0,0,0,0,1418,1632,-1645,0,0,0,-1419,-1633,1644
0.328,0,0,0,0,0,0,1484,1708,-1722,0,0,0,-1485,-1709,1721
0.336,0,0,0,0,0,0,1551,1786,-1800,0,0,0,-1552,-1787,1799
0.344,0,0,0,0,0,0,1620,1864,-1879,0,0,0,-1621,-1865,1878
0.352,0,0,0,0,0,0,1689,1944,-1960,0,0,0,-1690,-1945,1959
0.36,0,0,0,0,0,0,1760,2026,-2042,0,0,0,-1761,-2027,2041
0.368,0,0,0,0,0,0,1832,2109,-2125,0,0,0,-1833,-2110,2124
0.376,0,0,0,0,0,0,1905,2193,-2210,0,0,0,-1906,-2194,2209
0.384,0,0,0,0,0,0,1979,2278,-2296,0,0,0,-1980,-2279,2295
0.392,0,0,0,0,0,0,2054,2364,-2383,0,0,0,-2055,-2365,2382
0.4,0,0,0,0,0,0,2130,2452,-2471,0,0,0,-2131,-2453,2470
0.408,0,0,0,0,0,0,2208,2541,-2561,0,0,0,-2209,-2542,2560
0.416,0,0,0,0,0,0,2286,2631,-2651,0,0,0,-2287,-2632,2650
0.424,0,0,0,0,0,0,2365,2722,-2743,0,0,0,-2366,-2723,2742
0.432,0,0,0,0,0,0,2445,2814,-2836,0,0,0,-2446,-2815,2835
0.44,0,0,0,0,0,0,2526,2907,-2930,0,0,0,-2527,-2908,2929
0.448,0,0,0,0,0,0,2608,3001,-3025,0,0,0,-2609,-3002,3024
0.456,0,0,0,0,0,0,2691,3097,-3121,0,0,0,-2692,-3098,3120
0.464,0,0,0,0,0,0,2774,3193,-3218,0,0,0,-2775,-3194,3217
0.472,0,0,0,0,0,0,2859,3290,-3316,0,0,0,-2860,-3291,3315
0.48,0,0,0,0,0,0,2944,3389,-3415,0,0,0,-2945,-3390,3414
0.488,0,0,0,0,0,0,3031,3488,-3515,0,0,0,-3032,-3489,3514
0.496,0,0,0,0,0,0,3118,3588,-3616,0,0,0,-3119,-3589,3615
0.504,0,0,0,0,0,0,3205,3689,-3718,0,0,0,-3206,-3690,3717
0.512,0,0,0,0,0,0,3294,3791,-3820,0,0,0,-3295,-3792,3819
0.52,0,0,0,0,0,0,3383,3894,-3924,0,0,0,-3384,-3895,3923
0.528,0,0,0,0,0,0,3473,3997,-4028,0,0,0,-3474,-3998,4027
0.536,0,0,0,0,0,0,3564,4102,-4133,0,0,0,-3565,-4103,4132
0.544,0,0,0,0,0,0,3655,4207,-4239,0,0,0,-3656,-4208,4238
0.552,0,0,0,0,0,0,3747,4313,-4346,0,0,0,-3748,-4314,4345
0.56,0,0,0,0,0,0,3840,4419,-4453,0,0,0,-3841,-4420,4452
0.568,0,0,0,0,0,0,3933,4526,-4561,0,0,0,-3934,-4527,4560
0.576,0,0,0,0,0,0,4027,4634,-4670,0,0,0,-4028,-4635,4669
0.584,0,0,0,0,0,0,4121,4743,-4780,0,0,0,-4122,-4744,4779
0.592,0,0,0,0,0,0,4216,4852,-4890,0,0,0,-4217,-4853,4889
0.6,0,0,0,0,0,0,4312,4962,-5000,0,0,0,-4313,-4963,4999
0.608,0,0,0,0,0,0,4408,5073,-5112,0,0,0,-4409,-5074,5111
0.616,0,0,0,0,0,0,4504,5183,-5223,0,0,0,-4505,-5184,5222
0.624,0,0,0,0,0,0,4601,5295,-5336,0,0,0,-4602,-5296,5335
0.632,0,0,0,0,0,0,4698,5407,-5449,0,0,0,-4699,-5408,5448
0.64,0,0,0,0,0,0,4796,5520,-5562,0,0,0,-4797,-5521,5561
0.648,0,0,0,0,0,0,4894,5632,-5676,0,0,0,-4895,-5633,5675
0.656,0,0,0,0,0,0,4993,5746,-5790,0,0,0,-4994,-5747,5789
0.664,0,0,0,0,0,0,5092,5860,-5905,0,0,0,-5093,-5861,5904
0.672,0,0,0,0,0,0,5191,5974,-6020,0,0,0,-5192,-5975,6019
0.68,0,0,0,0,0,0,5290,6088,-6135,0,0,0,-5291,-6089,6134
0.688,0,0,0,0,0,0,5390,6203,-6251,0,0,0,-5391,-6204,6250
0.696,0,0,0,0,0,0,5490,6319,-6367,0,0,0,-5491,-6320,6366
0.704,0,0,0,0,0,0,5591,6434,-6483,0,0,0,-5592,-6435,6482
0.712,0,0,0,0,0,0,5691,6550,-6600,0,0,0,-5692,-6551,6599
0.72,0,0,0,0,0,0,5792,6666,-6717,0,0,0,-5793,-6667,6716
0.728,0,0,0,0,0,0,5893,6782,-6834,0,0,0,-5894,-6783,6833
0.736,0,0,0,0,0,0,5994,6899,-6951,0,0,0,-5995,-6900,6950
0.744,0,0,0,0,0,0,6096,7015,-7069,0,0,0,-6097,-7016,7068
0.752,0,0,0,0,0,0,6197,7132,-7187,0,0,0,-6198,-7133,7186
0.76,0,0,0,0,0,0,6299,7249,-7305,0,0,0,-6300,-7250,7304
0.768,0,0,0,0,0,0,6401,7366,-7422,0,0,0,-6402,-7367,7421
0.776,0,0,0,0,0,0,6502,7483,-7540,0,0,0,-6503,-7484,7539
0.784,0,0,0,0,0,0,6604,7601,-7659,0,0,0,-6605,-7602,7658
0.792,0,0,0,0,0,0,6706,7718,-7777,0,0,0,-6707,-7719,7776
0.8,0,0,0,0,0,0,6808,7835,-7895,0,0,0,-6809,-7836,7894
0.808,0,0,0,0,0,0,6910,7952,-8013,0,0,0,-6911,-7953,8012
0.816,0,0,0,0,0,0,7012,8069,-8131,0,0,0,-7013,-8070,8130
0.824,0,0,0,0,0,0,7113,8187,-8249,0,0,0,-7114,-8188,8248
0.832,0,0,0,0,0,0,7215,8304,-8367,0,0,0,-7216,-8305,8366
0.84,0,0,0,0,0,0,7317,8421,-8485,0,0,0,-7318,-8422,8484
0.848,0,0,0,0,0,0,7418,8537,-8602,0,0,0,-7419,-8538,8601
0.856,0,0,0,0,0,0,7520,8654,-8720,0,0,0,-7521,-8655,8719
0.864,0,0,0,0,0,0,7621,8771,-8837,0,0,0,-7622,-8772,8836
0.872,0,0,0,0,0,0,7722,8887,-8954,0,0,0,-7723,-8888,8953
0.88,0,0,0,0,0,0,7823,9003,-9071,0,0,0,-7824,-9004,9070
0.888,0,0,0,0,0,0,7923,9119,-9188,0,0,0,-7924,-9120,9187
0.896,0,0,0,0,0,0,8024,9234,-9304,0,0,0,-8025,-9235,9303
0.904,0,0,0,0,0,0,8124,9349,-9421,0,0,0,-8125,-9350,9420
0.912,0,0,0,0,0,0,8224,9464,-9536,0,0,0,-8225,-9465,9535
0.92,0,0,0,0,0,0,8323,9579,-9652,0,0,0,-8324,-9580,9651
0.928,0,0,0,0,0,0,8422,9693,-9767,0,0,0,-8423,-9694,9766
0.936,0,0,0,0,0,0,8521,9807,-9881,0,0,0,-8522,-9808,9880
0.944,0,0,0,0,0,0,8620,9920,-9996,0,0,0,-8621,-9921,9995
0.952,0,0,0,0,0,0,8718,10033,-10110,0,0,0,-8719,-10034,10109
0.96,0,0,0,0,0,0,8816,10146,-10223,0,0,0,-8817,-10147,10222
0.968,0,0,0,0,0,0,8913,10258,-10336,0,0,0,-8914,-10259,10335
0.976,0,0,0,0,0,0,9010,10369,-10448,0,0,0,-9011,-10370,10447
0.984,0,0,0,0,0,0,9106,10480,-10560,0,0,0,-9107,-10481,10559
0.992,0,0,0,0,0,0,9202,10591,-10671,0,0,0,-9203,-10592,10670
1,0,0,0,0,0,0,9298,10701,-10782,0,0,0,-9299,-10702,10781
1.008,0,0,0,0,0,0,9393,10810,-10892,0,0,0,-9394,-10811,10891
1.016,0,0,0,0,0,0,9487,10918,-11001,0,0,0,-9488,-10919,11000
1.024,0,0,0,0,0,0,9581,11026,-11110,0,0,0,-9582,-11027,11109
1.032,0,0,0,0,0,0,9674,11134,-11218,0,0,0,-9675,-11135,11217
1.04,0,0,0,0,0,0,9767,11240,-11325,0,0,0,-9768,-11241,11324
1.048,0,0,0,0,0,0,9859,11346,-11432,0,0,0,-9860,-11347,11431
